Geography,MedianRent,MedianHouseholdIncome,TotalPopulation,InflationRates,Year,RentControl,MedianHouseholdIncomeIncreasingRate,MedianRentIncreasingRate
Redondo Beach city,1674,104516,67683,1.7,2012,4,0.071442484,0.040397763
Santa Clarita city,1447,78894,179005,1.7,2012,4,0.001981254,0
Santa Monica city,1580,71225,91814,1.7,2012,1,0.067089158,0.115031757
South Gate city,943,41942,95297,1.7,2012,4,0.121893808,-0.022797927
Torrance city,1359,71790,147036,1.7,2012,4,-0.026497071,-0.002934703
West Covina city,1411,63203,107472,1.7,2012,4,-0.010830268,0.088734568
Whittier city,1079,60408,86159,1.7,2012,4,-0.125864614,-0.064991334
Madera County,883,42039,152218,1.7,2012,4,-0.097294396,0.121982211
Marin County,1574,90535,256069,1.7,2012,4,0.173219469,0.063513514
Mendocino County,874,41369,87428,1.7,2012,4,-0.02502887,-0.142296369
Merced County,834,43597,262305,1.7,2012,4,0.088428411,0.024570025
Merced city,833,36027,80799,1.7,2012,4,-0.06535049,0.086049544
Monterey County,1185,58109,426762,1.7,2012,4,0.092705767,0.018041237
Salinas city,1107,50598,154463,1.7,2012,4,0.139928357,-0.006283662
Napa County,1276,68553,139045,1.7,2012,4,0.115408396,-0.030395137
Napa city,1221,65217,78332,1.7,2012,4,0.170462499,-0.081954887
Nevada County,1245,53768,98292,1.7,2012,4,-0.005769231,0.136986301
Orange County,1465,71983,3090132,1.7,2012,4,-0.004288105,0.024475524
Anaheim city,1307,55464,343241,1.7,2012,4,-0.024517218,-0.012839879
Buena Park city,1312,64889,82152,1.7,2012,4,0.002084813,0.017843289
Costa Mesa city,1486,62656,111910,1.7,2012,4,0.024862601,0.027662517
Fullerton city,1270,61943,138589,1.7,2012,4,-0.056437363,0.007936508
Garden Grove city,1273,55481,174401,1.7,2012,4,-0.000486416,-0.009338521
Huntington Beach city,1582,80020,194712,1.7,2012,4,0.06217479,0.082819986
Irvine city,1849,96278,230005,1.7,2012,4,0.100521238,0.06940428
Lake Forest city,1611,82689,78853,1.7,2012,4,-0.179249216,0.02480916
Mission Viejo city,1720,95520,95289,1.7,2012,4,0.064562506,-0.07873594
Newport Beach city,1882,112259,87060,1.7,2012,4,0.15828845,0.027853632
Orange city,1466,74117,139425,1.7,2012,4,0.050962097,0.016643551
Santa Ana city,1267,53593,330913,1.7,2012,4,0.045431492,0.057595993
Tustin city,1479,64243,78044,1.7,2012,4,-0.174540969,0.051172708
Westminster city,1312,51270,91355,1.7,2012,4,-0.023391367,0.004594181
Yorba Linda city,1647,115194,66739,1.7,2012,4,0.034252417,0.225446429
Placer County,1254,69086,361682,1.7,2012,4,0.001841674,0.062711864
Roseville city,1250,70816,124525,1.7,2012,4,-0.058097468,0.089799477
Riverside County,1129,52621,2268783,1.7,2012,4,-0.004954333,0.025431426
Corona city,1315,75390,158388,1.7,2012,4,-0.064140919,0.075224857
Hemet city,893,30141,81041,1.7,2012,4,0.015566562,0.019406393
Indio city,921,46822,79308,1.7,2012,4,0.139720559,0.035995501
Menifee city,1277,50463,81467,1.7,2012,4,-0.110549044,-0.129516019
Moreno Valley city,1210,50880,199561,1.7,2012,4,-0.040325927,0.037735849
Murrieta city,1619,66306,106809,1.7,2012,4,-0.085384021,-0.088400901
Perris city,1138,44200,71327,1.7,2012,4,0.220017113,-0.026518392
Riverside city,1078,52697,313700,1.7,2012,4,0.026611599,0.030592734
Temecula city,1610,81868,105213,1.7,2012,4,0.224304237,0.115731116
Sacramento County,984,52667,1450121,1.7,2012,4,0.006747716,-0.002028398
Arden-Arcade CDP,828,41759,88995,1.7,2012,4,0.07402073,0
Citrus Heights city,966,49143,84862,1.7,2012,4,-0.016805714,-0.041666667
Elk Grove city,1381,76835,159064,1.7,2012,4,0.04894198,-0.030196629
Folsom city,1565,98359,73381,1.7,2012,4,0.126046091,0.257028112
Sacramento city,970,48546,475524,1.7,2012,4,0.013317191,0.016771488
San Bernardino County,1064,50770,2081313,1.7,2012,4,-0.009307862,0.007575758
Apple Valley town,886,40313,70682,1.7,2012,4,-0.213527644,-0.095918367
Chino city,1238,66035,80181,1.7,2012,4,0.105206782,0.01309329
Chino Hills city,1790,82241,76462,1.7,2012,4,-0.122631646,0.027554535
Fontana city,1003,61085,201817,1.7,2012,4,-0.048549889,-0.065237651
Hesperia city,991,38058,92066,1.7,2012,4,-0.100241146,0.008138352
Ontario city,1231,52014,167207,1.7,2012,4,0.04628568,0.114027149
Rancho Cucamonga city,1426,74118,170740,1.7,2012,4,0.046332373,0.109727626
Redlands city,1126,61681,69908,1.7,2012,4,-0.07353891,0.060263653
Rialto city,1055,48197,101747,1.7,2012,4,0.061257294,0.068895643
San Bernardino city,876,37244,213298,1.7,2012,4,0.060538755,-0.030973451
Upland city,1197,56480,75208,1.7,2012,4,-0.055202409,0.079350766
Victorville city,1039,44426,120327,1.7,2012,4,-0.030994394,-0.048534799
San Diego County,1253,60330,3177063,1.7,2012,4,0.014341678,0.012934519
Carlsbad city,1635,78238,109333,1.7,2012,4,0.007222215,0.059624109
Chula Vista city,1181,62421,252424,1.7,2012,4,0.047595871,-0.009228188
El Cajon city,1076,40473,101449,1.7,2012,4,-0.070440974,0.061143984
Escondido city,1127,45466,147556,1.7,2012,4,0.041341243,0.012578616
Oceanside city,1368,59640,171272,1.7,2012,4,0.07227616,-0.017241379
San Diego city,1298,62395,1338354,1.7,2012,3,0.026284192,0.016444792
San Marcos city,1243,50260,86756,1.7,2012,4,0.133539322,0.041911148
Vista city,1144,40959,96046,1.7,2012,4,-0.015384985,-0.010380623
San Francisco County,1512,73012,825863,1.7,2012,4,0.04461041,0.074626866
San Francisco city,1512,73012,825863,1.7,2012,1,0.04461041,0.074626866
San Joaquin County,986,50722,702612,1.7,2012,4,-0.002576053,0.022821577
Manteca city,1209,55563,71070,1.7,2012,4,0.047627128,0.023708721
Stockton city,895,43321,297975,1.7,2012,4,-0.022320018,-0.011049724
Tracy city,1358,69514,84682,1.7,2012,4,0.035898964,0.085531575
San Luis Obispo County,1183,60264,274804,1.7,2012,4,0.1119845,-0.01907131
San Mateo County,1587,81609,739311,1.7,2012,4,-0.000587825,0.024531956
Daly City city,1508,64206,103677,1.7,2012,4,-0.040584561,0.067232838
Redwood City city,1506,76206,79005,1.7,2012,4,-0.01747012,0.032213845
San Mateo city,1663,77820,99653,1.7,2012,4,-0.030256206,0.088350785
Santa Barbara County,1324,61890,431249,1.7,2012,4,0.02289067,0.046640316
Santa Barbara city,1553,64766,89638,1.7,2012,4,0.068763511,0.099079972
Santa Maria city,1121,44349,101469,1.7,2012,4,-0.12235811,0.020947177
Santa Clara County,1566,91425,1837504,1.7,2012,4,0.076918546,0.071135431
Milpitas city,1745,101644,68807,1.7,2012,4,0.163360841,0.073185732
Mountain View city,1650,91422,76612,1.7,2012,4,0.057390701,0.108870968
San Jose city,1466,80090,982783,1.7,2012,3,0.045656914,0.058483755
Santa Clara city,1591,92390,119307,1.7,2012,4,0.061770959,0.028442146
Sunnyvale city,1625,101611,146199,1.7,2012,4,0.082857326,0.107702795
Santa Cruz County,1474,67769,266776,1.7,2012,4,0.084078512,0.085419735
Shasta County,913,45442,178586,1.7,2012,4,0.080357567,0.041049031
Redding city,979,41866,90750,1.7,2012,4,0.034366893,0.078193833
Solano County,1244,62066,420757,1.7,2012,4,-0.027102437,0.047138047
Fairfield city,1329,63020,107676,1.7,2012,4,-0.016219423,0.070910556
Vacaville city,1322,70848,93899,1.7,2012,4,-0.012475085,0.094370861
Vallejo city,1154,52388,117814,1.7,2012,4,0.007694083,0.026690391
Sonoma County,1251,59941,491829,1.7,2012,4,-0.017682727,0.052144659
Santa Rosa city,1211,57653,170684,1.7,2012,4,-0.050666886,0.01000834
Stanislaus County,959,46405,521726,1.7,2012,4,0.052840548,0.021299255
Modesto city,990,45267,203560,1.7,2012,4,0.081312854,0.059957173
Turlock city,906,48617,69735,1.7,2012,4,-0.013513788,-0.041269841
Sutter County,861,47081,95022,1.7,2012,4,-0.049502352,0.028673835
Tulare County,810,40302,451977,1.7,2012,4,-0.021011976,0.062992126
Visalia city,927,50097,127072,1.7,2012,4,-0.040177032,0.018681319
Ventura County,1438,71517,835981,1.7,2012,4,-0.041622556,0.040520984
Camarillo city,1477,86735,65972,1.7,2012,4,0.102530857,-0.112912913
Oxnard city,1280,57351,201565,1.7,2012,4,-0.012721639,0.025641026
San Buenaventura (Ventura) city,1297,62077,107755,1.7,2012,4,-0.014197011,-0.006891271
Simi Valley city,1650,82223,125794,1.7,2012,4,-0.072540438,0
Thousand Oaks city,1866,87402,128411,1.7,2012,3,-0.098418658,0.127492447
Yolo County,1011,50594,204118,1.7,2012,4,0.020163729,0.024316109
Davis city,1189,52832,66009,1.7,2012,4,-0.051524182,-0.022203947
Yuba County,864,43545,72926,1.7,2012,4,-0.009462933,0.122077922
Walnut Creek city,1538,77926,65696,1.7,2012,4,-0.100296722,0.192248062
Florence-Graham CDP,943,32788,63284,1.7,2012,4,-0.125116738,-0.033811475
Rancho Cordova city,892,45400,66999,1.7,2012,4,-0.062990176,-0.004464286
Palo Alto city,2000,117251,66359,1.7,2012,4,-0.015723112,0.084598698
Yuba City city,874,45023,65105,1.7,2012,4,-0.070771072,0.096612296
Jurupa Valley city,1027,50584,97419,1.7,2012,4,NA,NA
South San Francisco city,1463,72206,65565,1.7,2012,4,NA,NA
South Whittier CDP,NA,NA,NA,1.7,2012,4,NA,NA
San Clemente city,NA,NA,NA,1.7,2012,4,NA,NA
Carmichael CDP,NA,NA,NA,1.7,2012,4,NA,NA
Laguna Niguel city,NA,NA,NA,1.7,2012,4,NA,NA
Castro Valley CDP,NA,NA,NA,1.7,2012,4,NA,NA
Madera city,NA,NA,NA,1.7,2012,4,NA,NA
Lake Elsinore city,NA,NA,NA,1.7,2012,4,NA,NA
Lodi city,NA,NA,NA,1.7,2012,4,NA,NA
Santa Cruz city,NA,NA,NA,1.7,2012,4,NA,NA
Rocklin city,NA,NA,NA,1.7,2012,4,NA,NA
Tehama County,NA,NA,NA,1.7,2012,4,NA,NA
Tulare city,NA,NA,NA,1.7,2012,4,NA,NA
California,1224,60190,38332521,1.5,2013,4,0.031922919,0.02
Alameda County,1335,72399,1578891,1.5,2013,4,0.02693617,0.055335968
Berkeley city,1363,61960,116774,1.5,2013,1,-0.059602046,0.100969305
Fremont city,1669,104838,224904,1.5,2013,4,0.042396643,0.034717917
Hayward city,1307,59269,151582,1.5,2013,2,-0.021737695,0.048956661
Livermore city,1512,91790,85169,1.5,2013,4,-0.084133224,0.071580439
Oakland city,1117,54394,406228,1.5,2013,1,0.128599884,0.039069767
Pleasanton city,1825,121622,74112,1.5,2013,4,0.079501176,0.128633271
San Leandro city,1179,63803,87967,1.5,2013,4,0.026118143,-0.046887631
Union City city,1549,73563,72540,1.5,2013,4,-0.134960019,0.07049067
Butte County,864,42752,222090,1.5,2013,4,0.04375,-0.03030303
Chico city,862,44491,88075,1.5,2013,4,0.138255686,-0.061002179
Contra Costa County,1389,79100,1094205,1.5,2013,4,0.066368281,0.033482143
Antioch city,1328,59356,107098,1.5,2013,4,-0.010254957,0.087633088
Concord city,1279,66086,125892,1.5,2013,4,0.029954492,0.003137255
Pittsburg city,1243,61182,66703,1.5,2013,4,0.177709336,-0.020488574
Richmond city,1186,54638,107580,1.5,2013,4,0.055500821,0.059874888
San Ramon city,1803,131309,74514,1.5,2013,4,0.073162958,0.029109589
El Dorado County,1018,61365,181737,1.5,2013,4,-0.123018879,-0.068618481
Fresno County,859,43925,955272,1.5,2013,4,0.055204555,0.001165501
Clovis city,1074,65095,99758,1.5,2013,4,0.091703423,0.020912548
Fresno city,870,40179,509965,1.5,2013,4,0.046709738,0.001150748
Humboldt County,914,42092,134493,1.5,2013,4,0.034659063,0.079102715
Imperial County,759,43310,176584,1.5,2013,4,0.077363184,0.045454545
Kern County,894,46879,864124,1.5,2013,4,0.021106513,0.025229358
Bakersfield city,959,54763,363630,1.5,2013,4,0.01992811,-0.032290616
Kings County,825,45774,150960,1.5,2013,4,-0.003504953,0.037735849
Lake County,944,37079,63860,1.5,2013,4,0.116198561,0.181476846
Los Angeles County,1205,54529,10017068,1.5,2013,4,0.028829645,0.025531915
Alameda city,1383,75212,76413,1.5,2013,4,0.004702111,0.056531704
Alhambra city,1224,51532,84566,1.5,2013,4,-0.103229848,0.07651715
Baldwin Park city,1145,49755,76633,1.5,2013,4,-0.023875853,0.054327808
Bellflower city,1158,55772,77594,1.5,2013,4,0.167144501,0.002597403
Burbank city,1386,59314,104717,1.5,2013,4,-0.11265035,0.047619048
Carson city,1391,72280,92597,1.5,2013,4,0.051314871,0.175824176
Compton city,1070,42613,97872,1.5,2013,4,0.037822698,0.06361829
Downey city,1199,64386,113240,1.5,2013,4,0.061144439,-0.005804312
East Los Angeles CDP,960,40177,137967,1.5,2013,4,0.142333172,-0.002079002
El Monte city,1041,31852,115685,1.5,2013,4,-0.221260574,0.001924928
Glendale city,1288,50172,196000,1.5,2013,3,-0.033238916,0.023034154
Hawthorne city,991,43681,86204,1.5,2013,4,0.139335924,0.013292434
Inglewood city,1037,41254,111544,1.5,2013,4,-0.009484021,-0.038033395
Lakewood city,1556,75171,81136,1.5,2013,4,0.005659014,0.158600149
Lancaster city,1075,45616,159521,1.5,2013,4,-0.016472618,0.136363636
Long Beach city,1101,52116,469384,1.5,2013,4,0.089449589,0.028971963
Los Angeles city,1182,48466,3884340,1.5,2013,1,0.03553191,0.029616725
Lynwood city,999,38817,71387,1.5,2013,4,-0.072783298,0.015243902
Norwalk city,1345,58973,106588,1.5,2013,4,-0.008457193,0.118038238
Palmdale city,1112,55153,157146,1.5,2013,4,0.144989516,0.00090009
Pasadena city,1356,68172,139727,1.5,2013,4,0.042018862,0.053613054
Pomona city,1140,51379,151349,1.5,2013,4,0.109697624,0.078524125
Redondo Beach city,1704,95587,67816,1.5,2013,4,-0.085431896,0.017921147
Santa Clarita city,1498,81802,179582,1.5,2013,4,0.036859584,0.035245335
Santa Monica city,1587,67060,92484,1.5,2013,1,-0.058476658,0.00443038
South Gate city,977,47100,95664,1.5,2013,4,0.122979352,0.036055143
Torrance city,1422,76597,147485,1.5,2013,4,0.066959187,0.046357616
West Covina city,1373,63941,107741,1.5,2013,4,0.011676661,-0.026931254
Whittier city,1174,61795,86618,1.5,2013,4,0.022960535,0.088044486
Madera County,968,39758,152389,1.5,2013,4,-0.05425914,0.096262741
Marin County,1632,96580,258365,1.5,2013,4,0.066769758,0.036848793
Mendocino County,904,42042,87192,1.5,2013,4,0.01626822,0.034324943
Merced County,864,40687,263228,1.5,2013,4,-0.066747712,0.035971223
Merced city,812,35482,81089,1.5,2013,4,-0.015127543,-0.025210084
Monterey County,1217,57052,428826,1.5,2013,4,-0.018189953,0.027004219
Salinas city,1149,46901,155649,1.5,2013,4,-0.073066129,0.037940379
Napa County,1299,70914,140326,1.5,2013,4,0.034440506,0.018025078
Napa city,1353,65517,79059,1.5,2013,4,0.004600028,0.108108108
Nevada County,1262,54851,98200,1.5,2013,4,0.020142092,0.013654618
Orange County,1499,74163,3114363,1.5,2013,4,0.030284928,0.023208191
Anaheim city,1349,57550,345015,1.5,2013,4,0.037609981,0.03213466
Buena Park city,1395,76761,82885,1.5,2013,4,0.182958591,0.063262195
Costa Mesa city,1574,65149,112184,1.5,2013,4,0.039788687,0.059219381
Fullerton city,1301,65105,138979,1.5,2013,4,0.05104693,0.024409449
Garden Grove city,1305,58631,175115,1.5,2013,4,0.056776194,0.025137471
Huntington Beach city,1506,82948,197577,1.5,2013,4,0.036590852,-0.048040455
Irvine city,1868,87830,236724,1.5,2013,4,-0.087745902,0.010275825
Lake Forest city,1638,83544,79300,1.5,2013,4,0.010339948,0.016759777
Mission Viejo city,1950,96639,96350,1.5,2013,4,0.011714824,0.13372093
Newport Beach city,2000,104523,87265,1.5,2013,4,-0.068912069,0.062699256
Orange city,1474,76630,139983,1.5,2013,4,0.033905852,0.005457026
Santa Ana city,1296,47914,334241,1.5,2013,4,-0.105965331,0.022888713
Tustin city,1482,66396,78326,1.5,2013,4,0.033513379,0.002028398
Westminster city,1390,49656,91750,1.5,2013,4,-0.031480398,0.05945122
Yorba Linda city,1714,101668,67042,1.5,2013,4,-0.11741931,0.040680024
Placer County,1321,73328,367309,1.5,2013,4,0.061401731,0.053429027
Roseville city,1343,75153,127039,1.5,2013,4,0.061243222,0.0744
Riverside County,1164,54095,2292507,1.5,2013,4,0.02801163,0.031000886
Corona city,1330,66094,159507,1.5,2013,4,-0.123305478,0.011406844
Hemet city,904,35024,81734,1.5,2013,4,0.162005242,0.012318029
Indio city,992,51202,83546,1.5,2013,4,0.093545769,0.077090119
Menifee city,1384,55264,83459,1.5,2013,4,0.095139013,0.083790133
Moreno Valley city,1259,52625,201187,1.5,2013,4,0.034296384,0.040495868
Murrieta city,1529,72385,107457,1.5,2013,4,0.091680994,-0.05558987
Perris city,1278,50035,72334,1.5,2013,4,0.132013575,0.123022847
Riverside city,1145,54300,316613,1.5,2013,4,0.030419189,0.062152134
Temecula city,1509,78165,106783,1.5,2013,4,-0.045231348,-0.062732919
Sacramento County,1014,52936,1462131,1.5,2013,4,0.005107563,0.030487805
Arden-Arcade CDP,845,46340,92438,1.5,2013,4,0.109700903,0.020531401
Citrus Heights city,984,47955,85288,1.5,2013,4,-0.024174348,0.01863354
Elk Grove city,1441,70713,161029,1.5,2013,4,-0.07967723,0.043446778
Folsom city,1414,97196,73099,1.5,2013,4,-0.011824032,-0.096485623
Sacramento city,1010,48034,479671,1.5,2013,4,-0.010546698,0.041237113
San Bernardino County,1092,52323,2088371,1.5,2013,4,0.03058893,0.026315789
Apple Valley town,1000,48734,70923,1.5,2013,4,0.208890432,0.128668172
Chino city,1396,71457,81001,1.5,2013,4,0.082107973,0.127625202
Chino Hills city,1791,94826,76575,1.5,2013,4,0.153025863,0.000558659
Fontana city,1114,64679,203008,1.5,2013,4,0.058836048,0.110667996
Hesperia city,1065,42990,92159,1.5,2013,4,0.129591676,0.074672048
Ontario city,1205,51230,167496,1.5,2013,4,-0.015072865,-0.02112104
Rancho Cucamonga city,1496,82489,171359,1.5,2013,4,0.112941526,0.049088359
Redlands city,1140,61972,70000,1.5,2013,4,0.004717822,0.012433393
Rialto city,1034,49269,101889,1.5,2013,4,0.022242048,-0.019905213
San Bernardino city,916,37440,213700,1.5,2013,4,0.005262593,0.0456621
Upland city,1136,56782,75420,1.5,2013,4,0.005347025,-0.050960735
Victorville city,1058,42765,121080,1.5,2013,4,-0.037388016,0.018286814
San Diego County,1289,61426,3211252,1.5,2013,4,0.01816675,0.028731045
Carlsbad city,1701,82681,110977,1.5,2013,4,0.056788261,0.040366972
Chula Vista city,1217,60882,256765,1.5,2013,4,-0.024655164,0.030482642
El Cajon city,1082,39965,102207,1.5,2013,4,-0.012551578,0.005576208
Escondido city,1197,49233,148728,1.5,2013,4,0.082853121,0.062111801
Oceanside city,1289,48375,172795,1.5,2013,4,-0.1888833,-0.057748538
San Diego city,1333,63456,1355885,1.5,2013,3,0.017004568,0.026964561
San Marcos city,1222,56377,89375,1.5,2013,4,0.121707123,-0.01689461
Vista city,1175,45322,96919,1.5,2013,4,0.106521155,0.027097902
San Francisco County,1491,77485,837442,1.5,2013,4,0.061263902,-0.013888889
San Francisco city,1491,77485,837442,1.5,2013,1,0.061263902,-0.013888889
San Joaquin County,995,51432,704379,1.5,2013,4,0.013997871,0.009127789
Manteca city,1084,65215,71949,1.5,2013,4,0.173712722,-0.103391232
Stockton city,930,42114,298115,1.5,2013,4,-0.027861776,0.039106145
Tracy city,1403,75763,84683,1.5,2013,4,0.089895561,0.033136966
San Luis Obispo County,1203,58158,276443,1.5,2013,4,-0.034946237,0.016906171
San Mateo County,1669,91322,747373,1.5,2013,4,0.119018736,0.051669817
Daly City city,1582,77505,104747,1.5,2013,4,0.207130175,0.049071618
Redwood City city,1620,86358,80875,1.5,2013,4,0.133217857,0.075697211
San Mateo city,1675,83791,101132,1.5,2013,4,0.076728347,0.007215875
Santa Barbara County,1336,62421,435697,1.5,2013,4,0.008579738,0.009063444
Santa Barbara city,1432,64434,90431,1.5,2013,4,-0.005126146,-0.077913715
Santa Maria city,1130,44547,102205,1.5,2013,4,0.004464588,0.008028546
Santa Clara County,1653,92014,1862041,1.5,2013,4,0.006442439,0.055555556
Milpitas city,1722,90077,69796,1.5,2013,4,-0.113799142,-0.013180516
Mountain View city,1758,109802,77839,1.5,2013,4,0.2010457,0.065454545
San Jose city,1508,80977,998514,1.5,2013,3,0.011075041,0.028649386
Santa Clara city,1721,95415,120250,1.5,2013,4,0.032741639,0.081709617
Sunnyvale city,1781,98623,147559,1.5,2013,4,-0.029406265,0.096
Santa Cruz County,1350,68438,269419,1.5,2013,4,0.00987177,-0.08412483
Shasta County,893,40332,178980,1.5,2013,4,-0.112451036,-0.021905805
Redding city,936,40376,91124,1.5,2013,4,-0.035589739,-0.04392237
Solano County,1257,63520,424788,1.5,2013,4,0.023426675,0.010450161
Fairfield city,1274,61823,109302,1.5,2013,4,-0.01899397,-0.0413845
Vacaville city,1394,72925,94272,1.5,2013,4,0.029316283,0.054462935
Vallejo city,1183,56532,118855,1.5,2013,4,0.079102084,0.025129983
Sonoma County,1285,61029,495025,1.5,2013,4,0.018151182,0.027178257
Santa Rosa city,1290,57539,171996,1.5,2013,4,-0.001977347,0.065235343
Stanislaus County,967,47962,525491,1.5,2013,4,0.033552419,0.008342023
Modesto city,963,46329,204925,1.5,2013,4,0.023460799,-0.027272727
Turlock city,942,51780,70358,1.5,2013,4,0.065059547,0.039735099
Sutter County,959,49139,95350,1.5,2013,4,0.043711901,0.113821138
Tulare County,811,39422,454143,1.5,2013,4,-0.021835145,0.001234568
Visalia city,917,47231,127758,1.5,2013,4,-0.057209015,-0.010787487
Ventura County,1518,77363,839620,1.5,2013,4,0.081742802,0.055632823
Camarillo city,1686,89641,66076,1.5,2013,4,0.033504352,0.141503047
Oxnard city,1333,60693,203014,1.5,2013,4,0.058272742,0.04140625
San Buenaventura (Ventura) city,1372,64363,108811,1.5,2013,4,0.036825233,0.057825752
Simi Valley city,1597,84673,126177,1.5,2013,4,0.029797015,-0.032121212
Thousand Oaks city,1839,101417,128739,1.5,2013,3,0.160351022,-0.014469453
Yolo County,1110,54898,204593,1.5,2013,4,0.085069376,0.097922849
Davis city,1291,61525,66197,1.5,2013,4,0.16454043,0.085786375
Yuba County,918,43801,73340,1.5,2013,4,0.005878976,0.0625
Walnut Creek city,1553,75759,66890,1.5,2013,4,-0.027808434,0.009752926
Florence-Graham CDP,NA,NA,NA,1.5,2013,4,NA,NA
Rancho Cordova city,963,49872,67919,1.5,2013,4,0.098502203,0.079596413
Palo Alto city,2000,121074,66638,1.5,2013,4,0.032605266,0
Yuba City city,937,46256,65410,1.5,2013,4,0.027386003,0.07208238
Jurupa Valley city,1101,53982,98036,1.5,2013,4,0.067175391,0.072054528
South San Francisco city,1504,81361,66174,1.5,2013,4,0.126790017,0.028024607
South Whittier CDP,1227,61705,65365,1.5,2013,4,NA,NA
San Clemente city,1694,91304,65021,1.5,2013,4,NA,NA
Carmichael CDP,969,53858,66747,1.5,2013,4,NA,NA
Laguna Niguel city,NA,NA,NA,1.5,2013,4,NA,NA
Castro Valley CDP,NA,NA,NA,1.5,2013,4,NA,NA
Madera city,NA,NA,NA,1.5,2013,4,NA,NA
Lake Elsinore city,NA,NA,NA,1.5,2013,4,NA,NA
Lodi city,NA,NA,NA,1.5,2013,4,NA,NA
Santa Cruz city,NA,NA,NA,1.5,2013,4,NA,NA
Rocklin city,NA,NA,NA,1.5,2013,4,NA,NA
Tehama County,NA,NA,NA,1.5,2013,4,NA,NA
Tulare city,NA,NA,NA,1.5,2013,4,NA,NA
California,1268,61933,38802500,0.8,2014,4,0.028958299,0.035947712
Alameda County,1391,77214,1610921,0.8,2014,4,0.066506443,0.041947566
Berkeley city,1343,70364,118851,0.8,2014,1,0.135635894,-0.014673514
Fremont city,1832,106921,228760,0.8,2014,4,0.01986875,0.097663271
Hayward city,1371,66757,154633,0.8,2014,2,0.126339233,0.0489671
Livermore city,1572,87815,86856,0.8,2014,4,-0.043305371,0.03968254
Oakland city,1167,56188,413782,0.8,2014,1,0.032981579,0.044762757
Pleasanton city,1796,122652,77676,0.8,2014,4,0.008468863,-0.015890411
San Leandro city,1341,61935,89347,0.8,2014,4,-0.02927762,0.13740458
Union City city,1653,83861,73608,0.8,2014,4,0.139988853,0.06714009
Butte County,887,42365,224241,0.8,2014,4,-0.009052208,0.02662037
Chico city,886,40815,89187,0.8,2014,4,-0.082623452,0.027842227
Contra Costa County,1443,80361,1111339,0.8,2014,4,0.015941846,0.03887689
Antioch city,1244,57446,108953,0.8,2014,4,-0.032178718,-0.063253012
Concord city,1370,69853,127511,0.8,2014,4,0.057001483,0.071149335
Pittsburg city,1454,64442,68122,0.8,2014,4,0.053283646,0.169750603
Richmond city,1179,55025,108562,0.8,2014,4,0.007082983,-0.005902192
San Ramon city,1964,135355,75319,0.8,2014,4,0.030812816,0.089295618
El Dorado County,1018,71113,183087,0.8,2014,4,0.158852766,0
Fresno County,891,43423,965974,0.8,2014,4,-0.011428571,0.037252619
Clovis city,1058,60600,102190,0.8,2014,4,-0.069052923,-0.014897579
Fresno city,880,39880,515985,0.8,2014,4,-0.007441698,0.011494253
Humboldt County,895,40598,134809,0.8,2014,4,-0.035493681,-0.020787746
Imperial County,775,39290,179091,0.8,2014,4,-0.09281921,0.021080369
Kern County,870,47644,874589,0.8,2014,4,0.016318607,-0.026845638
Bakersfield city,971,58154,368748,0.8,2014,4,0.06192137,0.012513034
Kings County,855,42784,150269,0.8,2014,4,-0.065320925,0.036363636
Lake County,904,34529,64184,0.8,2014,4,-0.068772081,-0.042372881
Los Angeles County,1239,55746,10116705,0.8,2014,4,0.022318399,0.028215768
Alameda city,1447,86888,77661,0.8,2014,4,0.155241185,0.046276211
Alhambra city,1167,53011,85585,0.8,2014,4,0.028700613,-0.046568627
Baldwin Park city,1274,51270,77134,0.8,2014,4,0.030449201,0.112663755
Bellflower city,1164,51050,78246,0.8,2014,4,-0.084666141,0.005181347
Burbank city,1433,65398,105366,0.8,2014,4,0.102572748,0.033910534
Carson city,1408,67435,93272,0.8,2014,4,-0.067030991,0.012221423
Compton city,1093,46353,98596,0.8,2014,4,0.087766644,0.021495327
Downey city,1223,58844,114168,0.8,2014,4,-0.086074612,0.020016681
East Los Angeles CDP,958,38661,117267,0.8,2014,4,-0.037733031,-0.002083333
El Monte city,1087,38912,116617,0.8,2014,4,0.221650132,0.04418828
Glendale city,1309,51020,200161,0.8,2014,3,0.016901858,0.016304348
Hawthorne city,1036,44362,87591,0.8,2014,4,0.015590302,0.045408678
Inglewood city,1109,42592,111901,0.8,2014,4,0.032433219,0.069431051
Lakewood city,1536,81106,81641,0.8,2014,4,0.07895332,-0.01285347
Lancaster city,1071,45130,161036,0.8,2014,4,-0.010654156,-0.00372093
Long Beach city,1144,54511,473605,0.8,2014,4,0.045955177,0.039055404
Los Angeles city,1214,50544,3928827,0.8,2014,1,0.042875418,0.027072758
Lynwood city,1077,40672,71846,0.8,2014,4,0.04778834,0.078078078
Norwalk city,1369,63787,107111,0.8,2014,4,0.081630577,0.017843866
Palmdale city,1175,57035,158274,0.8,2014,4,0.034123257,0.056654676
Pasadena city,1410,70873,140860,0.8,2014,4,0.039620372,0.039823009
Pomona city,1160,46813,153381,0.8,2014,4,-0.088868993,0.01754386
Redondo Beach city,1833,110451,68146,0.8,2014,4,0.155502317,0.075704225
Santa Clarita city,1690,81577,181559,0.8,2014,4,-0.002750544,0.128170895
Santa Monica city,1604,82096,92989,0.8,2014,1,0.224217119,0.010712035
